Entity,Code,Year,Patent applications per 1 million people - Field: All
Argentina,ARG,2016,0.022778906
Argentina,ARG,2017,0.02257905
Argentina,ARG,2018,0.15675798
Argentina,ARG,2019,0.17788288
Australia,AUS,2014,3.6023738
Australia,AUS,2015,5.303167
Australia,AUS,2016,9.8644
Australia,AUS,2017,11.766609
Australia,AUS,2018,18.82988
Australia,AUS,2019,22.211182
Austria,AUT,2014,0.23397943
Austria,AUT,2015,0.34706232
Austria,AUT,2016,1.1444432
Austria,AUT,2017,1.2501799
Austria,AUT,2018,1.3572192
Austria,AUT,2019,0.6756125
Azerbaijan,AZE,2018,0.09960427
Belgium,BEL,2016,0.1764812
Belgium,BEL,2017,0.17580034
Belgium,BEL,2018,0.70000046
Belgium,BEL,2019,0.17405577
Brazil,BRA,2014,0.16992772
Brazil,BRA,2015,0.2925492
Brazil,BRA,2016,0.3936658
Brazil,BRA,2017,0.4054647
Brazil,BRA,2018,0.7374802
Brazil,BRA,2019,0.954422
Brunei,BRN,2014,2.399762
Bulgaria,BGR,2015,0.139325
Bulgaria,BGR,2017,0.42399314
Bulgaria,BGR,2018,0.5694204
Bulgaria,BGR,2019,0.43008164
Canada,CAN,2014,3.3114233
Canada,CAN,2015,5.088679
Canada,CAN,2016,9.215121
Canada,CAN,2017,11.46476
Canada,CAN,2018,18.25985
Canada,CAN,2019,19.876724
Chile,CHL,2014,0.055978056
Chile,CHL,2015,0.22163643
Chile,CHL,2017,0.053882744
Chile,CHL,2018,0.05292926
Chile,CHL,2019,0.05208957
China,CHN,2014,1.7932898
China,CHN,2015,2.8249435
China,CHN,2016,5.672152
China,CHN,2017,10.492407
China,CHN,2018,19.46147
China,CHN,2019,30.824991
Colombia,COL,2015,0.042580467
Colombia,COL,2017,0.04155324
Colombia,COL,2019,0.04007379
Costa Rica,CRI,2019,0.20001993
Croatia,HRV,2015,0.23902395
Croatia,HRV,2018,0.745375
Croatia,HRV,2019,0.2508597
Czechia,CZE,2017,0.09486495
Czechia,CZE,2018,0.094796814
Czechia,CZE,2019,0.09474345
Denmark,DNK,2014,1.9490615
Denmark,DNK,2015,3.6948147
Denmark,DNK,2016,2.6186466
Denmark,DNK,2017,3.4691458
Denmark,DNK,2018,4.142387
Denmark,DNK,2019,3.0956738
Finland,FIN,2014,2.0140512
Finland,FIN,2015,2.0074224
Finland,FIN,2016,1.4557571
Finland,FIN,2017,3.6308486
Finland,FIN,2018,7.2520456
Finland,FIN,2019,6.1575093
France,FRA,2014,0.5101059
France,FRA,2015,0.5391559
France,FRA,2016,1.0140305
France,FRA,2017,1.4857993
France,FRA,2018,2.808325
France,FRA,2019,3.3622699
Germany,DEU,2014,0.83562684
Germany,DEU,2015,1.4742165
Germany,DEU,2016,2.8516173
Germany,DEU,2017,4.873414
Germany,DEU,2018,7.6647696
Germany,DEU,2019,10.25621
Greece,GRC,2014,0.09180105
Greece,GRC,2015,0.18482849
Greece,GRC,2016,0.37121406
Greece,GRC,2017,1.301903
Greece,GRC,2018,0.8387082
Greece,GRC,2019,0.27988937
Hong Kong,HKG,2016,0.5399602
Hong Kong,HKG,2017,0.13432136
Hong Kong,HKG,2018,1.8738796
Hong Kong,HKG,2019,0.1335868
Hungary,HUN,2014,0.10139124
Hungary,HUN,2015,0.8130774
Hungary,HUN,2016,0.6115909
Hungary,HUN,2017,0.81753105
Hungary,HUN,2018,0.4092347
Hungary,HUN,2019,0.511755
India,IND,2014,0.037339672
India,IND,2015,0.083582796
India,IND,2016,0.116076246
India,IND,2017,0.19857945
India,IND,2018,0.19641234
India,IND,2019,0.0071992674
Indonesia,IDN,2016,0.007557797
Iran,IRN,2018,0.011611979
Ireland,IRL,2016,0.42074588
Ireland,IRL,2018,0.41046664
Israel,ISR,2014,0.7597695
Israel,ISR,2015,1.9868722
Israel,ISR,2016,0.6090166
Israel,ISR,2017,2.511438
Israel,ISR,2018,2.3501692
Israel,ISR,2019,2.425665
Italy,ITA,2014,0.09890524
Italy,ITA,2015,0.18159224
Italy,ITA,2016,0.34723344
Italy,ITA,2017,0.48020983
Italy,ITA,2018,0.696778
Italy,ITA,2019,1.0144674
Japan,JPN,2014,4.031798
Japan,JPN,2015,5.8141446
Japan,JPN,2016,10.671603
Japan,JPN,2017,18.707014
Japan,JPN,2018,28.050627
Japan,JPN,2019,33.330868
Jordan,JOR,2017,0.09771182
Kenya,KEN,2016,0.020772904
Latvia,LVA,2017,0.51478726
Lithuania,LTU,2014,0.68186826
Lithuania,LTU,2015,1.3765923
Lithuania,LTU,2016,1.0456419
Lithuania,LTU,2017,1.4137907
Lithuania,LTU,2018,3.2114985
Lithuania,LTU,2019,0.7155607
Luxembourg,LUX,2016,3.4277742
Luxembourg,LUX,2017,5.029751
Luxembourg,LUX,2018,14.801292
Luxembourg,LUX,2019,16.126015
Malaysia,MYS,2014,0.3257745
Malaysia,MYS,2015,0.6083359
Malaysia,MYS,2016,0.34602466
