Entity,Code,Year,Estimated investment - Field: All
Albania,ALB,2014,5723042
Albania,ALB,2016,2258017
Albania,ALB,2019,7419277
Albania,ALB,2020,5234901
Algeria,DZA,2021,0
Algeria,DZA,2022,0
Argentina,ARG,2014,1144608
Argentina,ARG,2016,1129009
Argentina,ARG,2017,5527293
Argentina,ARG,2018,1079102
Argentina,ARG,2019,3179690
Argentina,ARG,2020,26174505
Argentina,ARG,2021,17000000
Argentina,ARG,2022,21295758
Argentina,ARG,2023,432197434
Armenia,ARM,2020,3140941
Armenia,ARM,2021,7000000
Armenia,ARM,2023,2667885
Australia,AUS,2014,3433825
Australia,AUS,2015,89173605
Australia,AUS,2016,88062681
Australia,AUS,2017,48640177
Australia,AUS,2018,186684605
Australia,AUS,2019,285112205
Australia,AUS,2020,498362582
Australia,AUS,2021,2714000000
Australia,AUS,2022,1008307846
Australia,AUS,2023,626063772
Austria,AUT,2014,6867650
Austria,AUT,2015,85743851
Austria,AUT,2016,5645044
Austria,AUT,2017,15476420
Austria,AUT,2018,59350597
Austria,AUT,2019,105989667
Austria,AUT,2020,148671190
Austria,AUT,2021,278000000
Austria,AUT,2022,418507940
Austria,AUT,2023,239220390
Azerbaijan,AZE,2022,0
Bahrain,BHR,2020,0
Bahrain,BHR,2021,120000000
Bahrain,BHR,2022,0
Bangladesh,BGD,2018,0
Bangladesh,BGD,2019,0
Bangladesh,BGD,2020,0
Bangladesh,BGD,2021,0
Bangladesh,BGD,2022,0
Bangladesh,BGD,2023,0
Barbados,BRB,2016,20322157
Belarus,BLR,2016,2258017
Belarus,BLR,2017,8843669
Belarus,BLR,2020,2093960
Belarus,BLR,2022,0
Belgium,BEL,2014,30904426
Belgium,BEL,2015,179490461
Belgium,BEL,2016,76772593
Belgium,BEL,2017,317266612
Belgium,BEL,2018,47480478
Belgium,BEL,2019,209859541
Belgium,BEL,2020,392617581
Belgium,BEL,2021,995000000
Belgium,BEL,2022,591651711
Belgium,BEL,2023,395736333
Belize,BLZ,2019,10598967
Belize,BLZ,2022,18518050
Bermuda,BMU,2014,30904426
Bermuda,BMU,2017,86225769
Bermuda,BMU,2020,5234901
Bermuda,BMU,2021,50000000
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Bosnia and Herzegovina,BIH,2023,0
Botswana,BWA,2014,1144608
Botswana,BWA,2015,1143251
Botswana,BWA,2016,0
Botswana,BWA,2021,1000000
Brazil,BRA,2014,16024517
Brazil,BRA,2015,144049669
Brazil,BRA,2016,14677113
Brazil,BRA,2017,129338654
Brazil,BRA,2018,213662150
Brazil,BRA,2019,404880529
Brazil,BRA,2020,812456647
Brazil,BRA,2021,626000000
Brazil,BRA,2022,937013351
Brazil,BRA,2023,202759290
Bulgaria,BGR,2014,1144608
Bulgaria,BGR,2015,28581284
Bulgaria,BGR,2016,0
Bulgaria,BGR,2017,1105459
Bulgaria,BGR,2018,14028323
Bulgaria,BGR,2019,2119793
Bulgaria,BGR,2021,1000000
Bulgaria,BGR,2022,925903
Bulgaria,BGR,2023,8003656
Cambodia,KHM,2018,0
Canada,CAN,2014,219764809
Canada,CAN,2015,385275702
Canada,CAN,2016,1752221540
Canada,CAN,2017,763871877
Canada,CAN,2018,1798862643
Canada,CAN,2019,1754128993
Canada,CAN,2020,1986121467
Canada,CAN,2021,3221000000
Canada,CAN,2022,20443927669
Canada,CAN,2023,1957338583
Cayman Islands,CYM,2017,3316376
Cayman Islands,CYM,2018,9711916
Cayman Islands,CYM,2019,0
Cayman Islands,CYM,2021,6000000
Cayman Islands,CYM,2022,2777708
Chile,CHL,2014,114460838
Chile,CHL,2015,0
Chile,CHL,2016,1129009
Chile,CHL,2017,65222056
Chile,CHL,2018,89565447
Chile,CHL,2019,33916694
Chile,CHL,2020,96322180
Chile,CHL,2021,270000000
Chile,CHL,2022,79627617
Chile,CHL,2023,5335771
China,CHN,2014,1713478748
China,CHN,2015,1676006466
China,CHN,2016,6883566193
China,CHN,2017,5053051160
China,CHN,2018,12193849950
China,CHN,2019,8018118330
China,CHN,2020,10351493383
China,CHN,2021,20031000000
China,CHN,2022,11966364184
China,CHN,2023,9120610860
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,1105459
Colombia,COL,2018,0
Colombia,COL,2019,5299483
Colombia,COL,2020,3140941
Colombia,COL,2021,17000000
Colombia,COL,2022,604614346
Colombia,COL,2023,8892951
Cote d'Ivoire,CIV,2022,0
Cote d'Ivoire,CIV,2023,0
Croatia,HRV,2015,0
Croatia,HRV,2016,3387026
Croatia,HRV,2018,6474611
Croatia,HRV,2019,3179690
Croatia,HRV,2020,1046980
Croatia,HRV,2021,346000000
Croatia,HRV,2022,336102615
Croatia,HRV,2023,173412550
Cyprus,CYP,2014,1144608
Cyprus,CYP,2015,2286503
Cyprus,CYP,2016,1129009
Cyprus,CYP,2017,2210917
Cyprus,CYP,2018,3237305
Cyprus,CYP,2019,3179690
Cyprus,CYP,2020,47114110
Cyprus,CYP,2021,26000000
Cyprus,CYP,2022,4629513
Cyprus,CYP,2023,0
Czechia,CZE,2014,0
Czechia,CZE,2015,2286503
Czechia,CZE,2016,3387026
Czechia,CZE,2017,11054586
Czechia,CZE,2018,4316407
Czechia,CZE,2019,36036487
